No,Name,PTI-IND,JIP,MQM-P,PPP,Total Votes,Filename
271,Premeir Govt college Block-H North Nazimabad for Boys,419,152,25,6,,
272,Premeir Govt college Block-H North Nazimabad for Boys,507,172,45,7,,
273,Windsor Public School Block-H North Nazimabad,301,120,21,29,,
274,Windsor Public School Block-H North Nazimabad,236,86,38,109,,
275,Windsor Public School Block-H North Nazimabad,314,142,41,33,,
276,Windsor Public School Block-H North Nazimabad,182,130,49,239,,
277,Azeem children paradise school Block-B N.Nazimabad,353,197,41,13,,
278,Azeem children paradise school Block-B N.Nazimabad,269,134,18,10,,
279,Azeem children paradise school Block-B N.Nazimabad,347,158,45,20,,
280,Azeem children paradise school Block-B N.Nazimabad,215,96,29,2,,
281,Azeem children paradise school Block-B N.Nazimabad,204,187,17,23,,
282,Azeem children paradise school Block-B N.Nazimabad,158,167,20,83,,
283,Major Khalid Bin Sultan Block-B North Nazimabad,243,211,18,41,,
284,Major Khalid Bin Sultan Block-B North Nazimabad,112,217,19,59,,
286,Al Suffah Academy Schooling System Campus 4 C-34 Block B North Nazmabad,282,160,12,116,,
287,Major Khalid Bin Sultan Block-B North Nazimabad,312,217,27,11,,
288,Major Khalid Bin Sultan Block-B North Nazimabad,258,304,29,50,,
289,Major Khalid Bin Sultan Block-B North Nazimabad,166,206,25,38,,
290,Childrens Educational Center Govt Boys Secondary School {Muslim Popular) Block-F near sajidia imam bargha,156,130,16,0,,
291,Childrens Educational Center Govt Boys Secondary School {Muslim Popular) Block-F near sajidia imam bargha,432,302,18,8,,
292,Childrens Educational Center Govt Boys Secondary School {Muslim Popular) Block-F near sajidia imam bargha,253,140,16,5,,
293,Childrens Educational Center Govt Boys Secondary School {Muslim Popular) Block-F near sajidia imam bargha,356,159,10,91,,
294,Childrens Educational Center Govt Boys Secondary School {Muslim Popular) Block-F near sajidia imam bargha,323,169,25,102,,
296,Major ikram shaheed KMC primary school RN-18,264,96,20,39,,
298,Major ikram shaheed KMC primary school RN-18,167,88,37,9,,
303,Al-Razi Secondary School Chandni Chowk,124,123,118,8,,
306,lqra Rehbat ul Atfal 5A/10 Ashraf Nagar,314,166,36,67,,
307,GBPS Globe No. 2 Paposh Nager Near Rehmania Ground Jahmoria Colony,187,43,176,9,,
