No,Name,PTI-IND,PML-N,PPP,Total Votes,Filename
240,240 - GPS Saleh Pur Baksh PS 123,247,88,266,,
241,241 - Govt M Raan Lab Dariya PS 72,165,459,292,,
242,242 - Govt B Raan Lab Dariya PS 71,210,449,465,,
243,243 - GB PS Kotla Sadaat PS 59,302,225,284,,
244,244 - GGES Sadiqabad PS 39,245,74,275,,
245,245 - GES Sadqabad PS 40,119,49,204,,
246,246 - GMPS Saleh Mahey PS 34,230,340,239,,
247,247 - Zakariya PS PS 218,735,174,127,,
248,248 - GBES Mehmodkot PS 82,698,205,167,,
249,249 - GPS PS 98,234,462,621,,
250,250 - GPS Jhok Chajrra,99,297,370,,
251,251 - Govt BPS Buch Mubarak,215,265,258,,
252,252 - Govt PS Buch Mubarak,275,295,326,,
253,253 - GGPSS Suraj Miani,318,186,235,,
254,254 - GHSS Suraj Miani,410,232,274,,
255,255 - Govt DC QPR,185,208,261,,
256,256 - Govt HS Bakhsh wala,264,240,445,,
257,257 - Govt Nusrat Islam BHS Cantt,304,181,50,,
258,"258 - Noor Jahan, Muzafarabad",167,128,132,,
259,259 - FGBHS 1 Cantt,538,551,140,,
260,260 - GBPS Nusrat Islam Cantt,154,350,26,,
261,261 - Govt Noor Jahan HS Male,245,200,140,,
262,262 - Ismail abad,245,131,123,,
263,263 - Govt Noor Jahan HS Female,397,192,183,,
264,264 - Govt BPS Buch Mubarak (Bathay Wala) Female I,206,161,234,,
265,"265 - Amir Public School, 5 Marla Scheme",159,55,318,,
266,266 - BHU Binda Sandeela,164,242,245,,
267,267 - Boys PS Amrott,55,373,638,,
268,268 - Govt PS Sarwani Bela,81,254,182,,
269,269 - Alpa,69,393,476,,
270,270 - Bibi pur,88,31,236,,
271,271 - BHU Kheraabad Qadeem,372,338,417,,
272,272 - Kheraabad Qadeem,262,227,294,,
273,273 - Zakariya Public School,410,100,111,,
