No,Name,PTI-IND,MQM-P,JIP,PPP,Total Votes,Filename
160,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),168,2,80,208,,
161,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),234,29,57,22,,
162,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",390,25,98,18,,
163,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",468,31,153,29,,
164,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",482,14,154,20,,
165,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",288,20,72,14,,
166,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",483,21,129,52,,
167,GBPS Ahad Primary School Pehlwan Goth (Combined),245,5,74,155,,
168,GBPS Ahad Primary School Pehlwan Goth (Combined),255,9,44,102,,
169,Tuba Public School Pehlwan Goth (Combined),373,1,72,83,,
170,Tuba Public School Pehlwan Goth (Combined),0,0,0,0,,
171,GBPS Ahad Primary School Pehlwan Goth (Combined),344,1,86,168,,
172,Tuba Public School Pehlwan Goth (Combined),192,2,61,159,,
173,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),400,14,96,12,,
174,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),277,11,44,12,,
175,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),597,24,102,9,,
176,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),448,26,102,16,,
177,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),388,7,86,8,,
178,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),316,2,18,98,,
179,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),471,12,88,14,,
180,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),1013,33,122,45,,
181,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),743,16,80,20,,
182,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),0,0,0,0,,
183,"Aaqa Institute of Sceince Technology, Zikri Goth Block-11, Gulistan-e- Johar(combined)",632,11,109,70,,
184,"Aaqa Institute of Sceince Technology, Zikri Goth Block-11, Gulistan-e- Johar(combined)",207,7,78,220,,
185,"Aaqa Institute of Sceince Technology, Zikri Goth Block-11, Gulistan-e- Johar(combined)",351,12,90,188,,
186,Income Tax Building Block-15 (Male),597,18,102,8,,
187,Income Tax Building Block-15 (Female),564,7,69,8,,
188,Income Tax Building Block-15 (Male),368,20,67,8,,
189,Income Tax Building Block-15 (Female),355,14,166,3,,
190,Income Tax Building Block-15 (Combined),470,25,69,16,,
191,Income Tax Building Block-15 (Combined),614,27,102,17,,
192,Income Tax Building Block-15 (Combined),347,17,44,6,,
193,Income Tax Building Block-15 (Combined),397,20,61,4,,
194,Geological Survey of Pakistan Block-2 Gulistan-e-Johar (Combined),315,7,70,15,,
195,Geological Survey of Pakistan Block-2 Gulistan-e-Johar (Combined),193,9,24,3,,
196,Geological Survey of Pakistan Block-2 Gulistan-e-Johar (Combined),131,14,31,5,,
197,Geological Survey of Pakistan Block-2 Gulistan-e-Johar (Combined),473,20,104,20,,
198,Income Tax Building Block-15 (Combined),560,37,133,11,,
199,Income Tax Building Block-15 (Combined),644,17,144,11,,
200,APHA School for Special Children Block-16 Gulistan-e-Johar (Combined),381,41,76,19,,
201,APHA School for Special Children Block-16 Gulistan-e-Johar (Combined),430,16,94,27,,
202,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",460,23,64,17,,
203,"The City Scholars Secondary School, Block 11, Gulshan-e-Iqbal (Combined)",0,0,0,0,,
204,"The City Scholars Secondary School, Block 11, Gulshan-e-Iqbal (Combined)",356,40,43,309,,
205,St. Frances School Block-11 Gulshan-e- Iqbal (Combined),0,0,0,0,,
206,St. Frances School Block-11 Gulshan-e- Iqbal (Combined),0,0,0,0,,
207,"Boston Grammer School, Block 11, Gulshan-e-Iqbal (Combined)",342,29,69,14,,
208,"Boston Grammer School, Block 11, Gulshan-e-Iqbal (Combined)",311,37,84,13,,
209,Gulshan e Gems School Block 11 Gulshan e Iqbal (Combined),410,34,78,26,,
210,"Boston Grammer School, Block 11, Gulshan-e-Iqbal (Combined)",541,37,115,9,,
211,Gulshan e Gems School Block 11 Gulshan e Iqbal (Combined),343,15,56,10,,
212,"GBPS Madhu Goth Block 11, Gulshan-e- Iqbal (Combined)",457,19,80,45,,
213,"GBPS Madhu Goth Block 11, Gulshan-e- Iqbal (Combined)",408,35,62,42,,
214,"GBPS Madhu Goth Block 11, Gulshan-e- Iqbal (Combined)",519,45,101,36,,
215,"GBPS Madhu Goth Block 11, Gulshan-e- Iqbal (Combined)",463,66,52,77,,
216,"Government Boys Primary School, Modern Public, Hussain Hazara Goth, Block 11, Gulshan E Iqbal (Male)",352,17,53,25,,
217,"Government Boys Primary School, Modern Public, Hussain Hazara Goth, Block 11, Gulshan E Iqbal (Male)",283,26,60,311,,
218,"Government Boys Primary School, Modern Public, Hussain Hazara Goth, Block 11, Gulshan E Iqbal (Male)",172,19,28,178,,
219,Institute of Clinical Psychology Gulistan-e-Johar (Combined),564,27,123,12,,
220,Institute of Clinical Psychology Gulistan-e-Johar (Combined),626,39,108,18,,
221,Institute of Clinical Psychology Gulistan-e-Johar (Combined),275,16,51,8,,
222,Barkley Public Model School Gulistan- e-Johar (Combined),366,15,62,21,,
223,Karachi Public School Block-15 Gulistan-e-Johar (Combined),345,34,50,11,,
224,Institute of Clinical Psychology Gulistan-e-Johar (Combined),0,0,0,0,,
225,Institute of Clinical Psychology Gulistan-e-Johar (Combined),415,34,48,12,,
226,The Smart School Latifi Cooperative housing Society infront Gold Line Residency Gullistan-e-Jouhar (Combined),296,25,86,13,,
227,Wahid English School A-4 Long Life Bungalows Opp: KDA Overseas Gulistan-e-Johar Bl-17 (Combined),476,19,83,9,,
228,The Smart School Latifi Cooperative housing Society infront Gold Line Residency Gullistan-e-Jouhar (Combined),349,15,65,10,,
229,S G Grammar School,601,48,105,20,,
230,The Smart School Latifi Cooperative housing Society infront Gold Line Residency Gullistan-e-Jouhar (Combined),580,39,89,30,,
231,"Spring Field English School, A/7 Long Life Benglows, Block-17 Gulshan-e-",377,18,66,14,,
232,"Spring Field English School, A/7 Long Life Benglows, Block-17 Gulshan-e-",392,24,0,7,,
233,S G Grammar School,398,0,53,113,,
234,"Gulf School Montesory, Block-17 Gulshan-e-Johar (Combined)",502,41,86,19,,
235,Freedom Academy Noman Grand City Gulistan-e-Johar (Combined),346,49,57,37,,
236,Freedom Academy Noman Grand City Gulistan-e-Johar (Combined),570,40,114,27,,
237,Freedom Academy Noman Grand City Gulistan-e-Johar (Combined),196,11,11,0,,
238,Freedom Academy Noman Grand City Gulistan-e-Johar (Combined),870,63,183,43,,
239,"Metropolitan Academy, Campus-II,Behind Darul Sehat Hospital Block-15 Gulistan-e-Johar (Combined)",196,13,41,11,,
240,"Metropolitan Academy, Campus-II,Behind Darul Sehat Hospital Block-15 Gulistan-e-Johar (Combined)",454,15,58,20,,
241,"The Elegant School System, C-219 Block 14, Gulistan E Jauhar (Combined)",372,30,61,22,,
242,Gulf Schooling System Campus 6 Block 16 Gulistan e Jauhar,474,24,62,19,,
243,Pak Turk Intrnational School Block-14 Gulistan-e-Johar (Combined),406,16,78,15,,
244,Pak Turk Intrnational School Block-14 Gulistan-e-Johar (Combined),388,20,70,6,,
245,"Sindhi Model School Sindh Balouch Society Block-12, Gulistan-e-Johar (Combined)",666,23,204,18,,
246,"Sindhi Model School Sindh Balouch Society Block-12, Gulistan-e-Johar (Combined)",240,10,50,12,,
247,"Sindhi Model School Sindh Balouch Society Block-12, Gulistan-e-Johar (Combined)",366,8,132,13,,
