No,Name,PML-N,PPP,PTI-IND,Total Votes,Filename
108,گورنمنٹ بوائز پرائمری سکول، چک نمبر 195/گ ب (مرد),284,0,387,,
109,گورنمنٹ بوائز پرائمری سکول، چک نمبر 195/گ ب (عورت),226,0,288,,
110,گورنمنٹ گرلز ہائی سکول، چک نمبر 196/گ ب (مرد),475,0,282,,
111,گورنمنٹ گرلز پرائمری سکول، چک نمبر 196/گ ب (عورت),0,0,0,,
112,گورنمنٹ گرلز ہائی سکول، چک نمبر 196/گ ب (مشترکہ),281,0,432,,
113,گورنمنٹ گرلز ہائی سکول، چک نمبر 197/گ ب (مرد),217,0,388,,
114,گورنمنٹ گرلز ہائی سکول، چک نمبر 197/گ ب (عورت),0,0,0,,
115,گورنمنٹ بوائز پرائمری سکول، چک نمبر 197/گ ب (مرد),228,0,397,,
116,گورنمنٹ بوائز پرائمری سکول، چک نمبر 197/گ ب (عورت),149,0,348,,
117,گورنمنٹ بوائز مڈل سکول، چک نمبر 200/گ ب (مرد),250,0,347,,
118,گورنمنٹ بوائز مڈل سکول، چک نمبر 200/گ ب (عورت),0,0,0,,
119,گورنمنٹ گرلز مڈل سکول، چک نمبر 200/گ ب (مشترکہ),289,0,431,,
120,گورنمنٹ بوائز پرائمری سکول، چک نمبر 201/گ ب (مرد),216,0,386,,
121,گورنمنٹ گرلز پرائمری سکول، چک نمبر 201/گ ب (عورت),0,0,0,,
122,گورنمنٹ بوائز پرائمری سکول، چک نمبر 202/گ ب (مرد),435,0,422,,
123,گورنمنٹ گرلز مڈل سکول، چک نمبر 202/گ ب (عورت),241,0,213,,
124,گورنمنٹ بوائز پرائمری سکول، چک نمبر 204/گ ب (مشترکہ),229,0,155,,
125,گورنمنٹ بوائز ایلیمنٹری سکول، چک نمبر 205/گ ب (مرد),294,0,217,,
126,گورنمنٹ گرلز پرائمری سکول، چک نمبر 205/گ ب (عورت),0,0,0,,
127,گورنمنٹ آفاق بوائز ہائی سکول، چک نمبر 206/گ ب (مرد),397,0,220,,
128,گورنمنٹ گرلز ہائی سکول، چک نمبر 206/گ ب (عورت),204,0,160,,
129,گورنمنٹ بوائز پرائمری سکول، چک نمبر 207/گ ب (مرد),284,0,304,,
130,گورنمنٹ گرلز پرائمری سکول، چک نمبر 207/گ ب (عورت),210,0,253,,
131,گورنمنٹ گرلز مڈل سکول، چک نمبر 208/گ ب (مرد),238,0,255,,
132,گورنمنٹ بوائز ایلیمنٹری سکول، چک نمبر 208/گ ب (عورت),0,0,0,,
133,گورنمنٹ بوائز پرائمری سکول، چک نمبر 209/گ ب (مرد),329,0,347,,
134,گورنمنٹ بوائز پرائمری سکول، چک نمبر 209/گ ب (عورت),242,0,299,,
135,گورنمنٹ گرلز مڈل سکول، چک نمبر 213/گ ب (مشترکہ),199,0,363,,
136,گورنمنٹ بوائز پرائمری سکول، چک نمبر 213/گ ب (مرد),263,0,384,,
137,گورنمنٹ گرلز ہائی سکول، چک نمبر 213/گ ب (عورت),172,0,347,,
138,گورنمنٹ بوائز پرائمری سکول، چک نمبر 214/گ ب (مرد),366,0,314,,
139,گورنمنٹ گرلز مڈل سکول، چک نمبر 214/گ ب (عورت),373,0,391,,
140,گورنمنٹ بوائز ہائی سکول، چک نمبر 215/گ ب (مرد),0,0,0,,
141,گورنمنٹ گرلز پرائمری سکول، چک نمبر 215/گ ب (عورت),182,0,74,,
142,گورنمنٹ بوائز پرائمری سکول، چک نمبر 216/گ ب (مرد),313,0,282,,
143,گورنمنٹ گرلز پرائمری سکول، چک نمبر 216/گ ب (عورت),144,0,171,,
144,گورنمنٹ بوائز مڈل سکول، چک نمبر 482/گ ب (مرد),0,0,0,,
145,گورنمنٹ گرلز مڈل سکول، چک نمبر 482/گ ب (عورت),0,0,0,,
146,گورنمنٹ بوائز ہائی سکول، چک نمبر 483/گ ب (مرد),196,0,187,,
147,گورنمنٹ گرلز ہائی سکول، چک نمبر 483/گ ب (عورت),162,0,363,,
148,گورنمنٹ بوائز ہائی سکول، چک نمبر 483/گ ب (مرد),170,0,119,,
149,گورنمنٹ بوائز مڈل سکول، چک نمبر 487/گ ب (مرد),305,0,291,,
150,گورنمنٹ گرلز مڈل سکول، چک نمبر 487/گ ب (عورت),188,0,168,,
151,گورنمنٹ گرلز پرائمری سکول، چک نمبر 488/گ ب شاملی (مرد),0,0,0,,
152,گورنمنٹ گرلز پرائمری سکول، چک نمبر 488/گ ب شاملی (عورت),135,0,52,,
153,گورنمنٹ بوائز پرائمری سکول، چک نمبر 488/گ ب جنوبی (مشترکہ),214,0,338,,
154,گورنمنٹ بوائز پرائمری سکول، چک نمبر 495/گ ب (مشترکہ),134,0,307,,
155,گورنمنٹ بوائز مڈل سکول، چک نمبر 203/گ ب (مرد),230,0,177,,
156,گورنمنٹ بوائز مڈل سکول، چک نمبر 203/گ ب (عورت),178,0,186,,
157,گورنمنٹ گرلز ہائی سکول، چک نمبر 203/گ ب (مرد),457,0,427,,
158,گورنمنٹ گرلز H/S چک نمبر 203/گ ب (عورت),305,0,413,,
159,گورنمنٹ بوائز ہائی سکول چک نمبر 210/گ ب (مرد),297,0,227,,
160,گورنمنٹ بوائز ہائی سکول چک نمبر 210/گ ب (عورت),224,0,206,,
161,گورنمنٹ بوائز پرائمری سکول، چک نمبر 211/گ ب (مرد),558,0,342,,
162,گورنمنٹ گرلز پرائمری سکول، چک نمبر 211/گ ب (عورت),0,0,0,,
163,گورنمنٹ بوائز مڈل سکول، چک نمبر 212/گ ب (مرد),387,0,380,,
164,گورنمنٹ گرلز مڈل سکول، چک نمبر 212/گ ب (عورت),0,0,0,,
165,گورنمنٹ بوائز پرائمری سکول، چک نمبر 198/گ ب (مرد),255,0,433,,
166,گورنمنٹ گرلز مڈل سکول، چک نمبر 198/گ ب (عورت),0,0,0,,
167,گورنمنٹ بوائز ہائی سکول، چک نمبر 199/گ ب (مشترکہ),248,0,407,,
168,گورنمنٹ گرلز ہائی سکول، چک نمبر 199/گ ب (مرد),195,0,389,,
169,گورنمنٹ گرلز ہائی سکول، چک نمبر 199/گ ب (عورت),157,0,408,,
170,گورنمنٹ بوائز پرائمری سکول، چک نمبر 484/گ ب (مرد),0,0,0,,
171,گورنمنٹ گرلز ای/سکول، چک نمبر 484/گ ب (عورت),324,0,330,,
172,گورنمنٹ بوائز ہائی سکول، چک نمبر 485/گ ب (مرد),177,0,248,,
173,گورنمنٹ گرلز ہائی سکول، چک نمبر 485/گ ب (عورت),378,0,398,,
174,گورنمنٹ بوائز مڈل سکول، چک نمبر 486/گ ب (مشترکہ),169,0,244,,
175,گورنمنٹ بوائز پرائمری سکول، چک نمبر 445/گ ب (مرد),0,0,0,,
176,گورنمنٹ گرلز مڈل سکول، چک نمبر 445/گ ب (عورت),180,0,222,,
177,گورنمنٹ گرلز مڈل سکول، چک نمبر 445/گ ب (مشترکہ),383,0,300,,
178,گورنمنٹ بوائز پرائمری سکول، چک نمبر 446/گ ب (مرد),232,0,482,,
179,گورنمنٹ گرلز پرائمری سکول، چک نمبر 446/گ ب (عورت),137,0,376,,
180,بیسک ہیلتھ یونٹ چک نمبر 448/گ ب (مرد),298,0,418,,
181,گورنمنٹ بوائز پرائمری سکول، چک نمبر 448/گ ب (عورت),251,0,344,,
182,گورنمنٹ گرلز ہائی سکول، چک نمبر 447/گ ب (مرد),244,0,317,,
183,گورنمنٹ گرلز ہائی سکول، چک نمبر 447/گ ب (عورت),183,0,286,,
184,گورنمنٹ بوائز ہائی سکول، چک نمبر 447/گ ب (مشترکہ),296,0,404,,
185,گورنمنٹ بوائز ہائی سکول، چک نمبر 442/گ ب (مرد),275,0,544,,
186,گورنمنٹ گرلز مڈل سکول، چک نمبر 442/گ ب (عورت),193,0,444,,
187,گورنمنٹ بوائز مڈل سکول، چک نمبر 444/گ ب (مرد),0,0,0,,
188,گورنمنٹ گرلز مڈل سکول، چک نمبر 444/گ ب (عورت),199,0,379,,
189,گورنمنٹ بوائز پرائمری سکول، چک نمبر 441/گ ب (مرد),0,0,0,,
190,گورنمنٹ گرلز کمیونٹی ماڈل ایلیمنٹری سکول، چک نمبر 441/گ ب-I (عورت),251,0,162,,
191,گورنمنٹ بوائز پرائمری سکول، چک نمبر 441/گ ب (مرد),0,0,0,,
192,گورنمنٹ گرلز کمیونٹی ماڈل ایلیمنٹری سکول، چک نمبر 441/گ ب-I (عورت),0,0,0,,
193,گورنمنٹ گرلز ہائی سکول چک 443/گ ب بوائز کیمپس (مرد),217,0,522,,
194,گورنمنٹ گرلز ہائی سکول، چک نمبر 443/گ ب مین کیمپس (عورت),182,0,376,,
195,واپڈا ہاؤس سمندری (مرد),0,0,0,,
196,گورنمنٹ گرلز پرائمری سکول فیصل آباد روڈ سمندری (عورت),346,0,325,,
197,گورنمنٹ بوائز ڈگری کالج، سمندری (مشترکہ),338,0,375,,
198,گورنمنٹ بوائز پرائمری سکول، اشرف آباد روڈ سمندری (مرد),163,0,344,,
199,گورنمنٹ گرلز ایلیمنٹری سکول، 471/گ ب روڈ سمندری (عورت),285,0,324,,
200,گورنمنٹ بوائز ڈگری کالج، سمندری (مرد),199,0,302,,
201,گورنمنٹ بوائز ڈگری کالج، سمندری (عورت),338,0,422,,
202,گورنمنٹ گرلز پرائمری سکول، نہر کنارے زم زم کالونی، سمندری (مرد),213,0,312,,
203,گورنمنٹ گرلز پرائمری سکول، نہر کنارے زم زم کالونی، سمندری (عورت),0,0,0,,
204,گورنمنٹ پرائمری سکول شوکت آباد سمندری (مرد),394,0,393,,
205,گورنمنٹ پرائمری سکول شوکت آباد سمندری (عورت),296,0,404,,
206,گورنمنٹ گرلز ایلیمنٹری سکول، دم دم دربار سمندری (مشترکہ),227,0,327,,
207,گورنمنٹ بوائز ہائی نمبر 1 سمندری (مشترکہ),379,0,462,,
208,گورنمنٹ بوائز پرائمری سکول، نمبر 2، نزد بلڈنگ آفس، سمندری۔ (مرد),232,0,441,,
209,گورنمنٹ گرلز ایلیمنٹری سکول، رجانہ روڈ، سمندری (عورت),0,0,0,,
210,گورنمنٹ بوائز پرائمری سکول، نمبر 2، نزد بلڈنگ آفس، سمندری۔ (مرد),280,0,408,,
211,گورنمنٹ گرلز ایلیمنٹری سکول، رجانہ روڈ، سمندری (عورت),201,0,305,,
212,گورنمنٹ بوائز ہائی نمبر 1 سمندری (مرد),247,0,393,,
213,گورنمنٹ بوائز ہائی نمبر 1 سمندری (عورت),163,0,334,,
214,گورنمنٹ بوائز پرائمری سکول-I، نیو سمندری (مشترکہ),520,0,557,,
215,گورنمنٹ گرلز پرائمری سکول، -I نیو سمندری (مشترکہ),280,0,121,,
216,لاہور انٹرنیشنل سکول گوجرہ روڈ نیو سمندری، (مشترکہ),0,0,0,,
217,گورنمنٹ بوائز ہائی سکول، نمبر 2، سمندری (مرد),375,0,381,,
218,گورنمنٹ بوائز ہائی سکول، نمبر 2، سمندری (عورت),198,0,277,,
219,Dy. ڈسٹرکٹ ایجوکیشن آفیسر کا دفتر (مشترکہ),205,0,257,,
220,گورنمنٹ گرلز ہائی سکول، نمبر 2 سمندری (مرد),348,0,629,,
221,گورنمنٹ گرلز ہائی سکول، نمبر 2 سمندری (عورت),395,0,539,,
222,گورنمنٹ گرلز کالج، سمندری (مرد),0,0,0,,
223,گورنمنٹ گرلز ہائی سکول نمبر 1، سمندری (عورت),258,0,375,,
224,گورنمنٹ اے سلیم بوائز پرائمری سکول، چکی بزیرسمندری (مرد),517,0,530,,
225,گورنمنٹ بوائز ایلیمنٹری سکول، گوردوارہ سمندری (عورت),265,0,306,,
226,گورنمنٹ گرلز پرائمری سکول، ہاؤسنگ کالونی نمبر 1، سمندری (مرد),0,0,0,,
227,گورنمنٹ گرلز پرائمری سکول، ہاؤسنگ کالونی نمبر 1، سمندری (عورت),287,0,354,,
228,گورنمنٹ گرلز پرائمری سکول، چک نمبر 471/گ ب (مرد),122,0,199,,
229,گورنمنٹ گرلز پرائمری سکول، چک نمبر 471/گ ب (عورت),78,0,217,,
230,گورنمنٹ بوائز پرائمری سکول، چک نمبر 471/گ ب (مشترکہ),282,0,311,,
231,گورنمنٹ بوائز پرائمری سکول، چک نمبر 464/گ ب (مرد),265,0,252,,
232,گورنمنٹ گرلز پرائمری سکول، چک نمبر 464/گ ب (عورت),425,0,246,,
233,گورنمنٹ بوائز پرائمری سکول، چک نمبر 465/گ ب (مرد),432,0,468,,
234,گورنمنٹ گرلز ہائی سکول، چک نمبر 465/گ ب (عورت),601,0,675,,
235,گورنمنٹ بوائز پرائمری سکول، چک نمبر 466/گ ب (مرد),0,0,0,,
236,گورنمنٹ گرلز پرائمری سکول، چک نمبر 466/گ ب (عورت),0,0,0,,
237,گورنمنٹ بوائز پرائمری سکول، چک نمبر 389/گ ب (مشترکہ),455,0,825,,
238,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 390/گ ب ویسٹ (مشترکہ),314,0,565,,
