No,Name,PTI-IND,PML-N,PPP,JIP,Total Votes,Filename
157,"Islamabad Model School for Boys (I-X) Herno Thanda Pani, Islamabad. (Male)",362,232,7,29,,
158,"Islamabad Model School for Boys (I-X) Herno Thanda Pani, Islamabad. (Female)",309,178,3,26,,
159,"Islamabad Model School for Girls (I-V) Herno Thanda Pani, Islamabad. (Male)",369,218,25,34,,
160,"Islamabad Model School for Girls (I-V) Herno Thanda Pani, Islamabad. (Female)",335,189,15,23,,
161,"Islamabad Model College for Boys (VI-XII) Nilore, Islamabad. (Combined)",200,133,10,26,,
162,"Islamabad Model College for Girls, Nilore Islamabad. (Male)",312,197,8,36,,
163,"Islamabad Model College for Girls, Nilore Islamabad. (Female)",252,182,7,25,,
164,"Islamabad Model College for Girls, Nilore Islamabad. (Male)",209,118,17,20,,
165,"Islamabad Model College for Girls, Nilore Islamabad. (Female)",133,96,12,13,,
166,"Islamabad Model School for Girls (I-X) Darkala, Islamabad. (Male)",259,316,0,6,,
167,"Islamabad Model School for Girls (I-X) Darkala, Islamabad. (Female)",231,292,7,2,,
168,"Islamabad Model School for Boys (I-V) ARA, Islamabad. (Combined)",113,82,197,34,,
169,"Islamabad Model School for Boys (I-VIII) Della, Islamabad. (Male)",249,249,9,7,,
170,"Islamabad Model School for Boys (I-VIII) Della, Islamabad. (Female)",245,229,15,8,,
171,"Islamabad Model School for Girls (I-VIII) Kalia New, Islamabad. (Male)",169,104,13,13,,
172,"Islamabad Model School for Girls (I-VIII) Kalia New, Islamabad. (Female)",175,89,7,10,,
173,"Islamabad Model College for Girls (VI-XII) Chirah, Islamabad. (Male)",140,234,20,31,,
174,"Islamabad Model College for Girls (VI-XII) Chirah, Islamabad. (Female)",163,230,11,23,,
175,"Huzafa Aftab Shaheed Model School for Boys (I-X) Chirah, Islamabad. (Male)",296,91,16,41,,
176,"Huzafa Aftab Shaheed Model School for Boys (I-X) Chirah, Islamabad. (Female)",333,96,9,34,,
177,"Islamabad Model School for Girls (I-VIII) Kalia Old, Islamabad. (Male)",187,108,19,7,,
178,"Islamabad Model School for Girls (I-VIII) Kalia Old, Islamabad. (Female)",172,108,22,3,,
179,"Islamabad Model School for Boys (I-VIII) Kijnah, Islamabad. (Combined)",233,152,179,2,,
180,"Islamabad Model School for Girls/Boys (I-X) Saidpur, Islamabad. (Male)",398,211,29,8,,
181,"Behbud English Medium Primary & Secondary School, Saidpur, Islamabad. (Female)",356,132,10,4,,
182,"Islamabad Model School for Girls/Boys (I-X) Saidpur, Islamabad, (Male)",0,0,0,0,,
183,"Behbud English Medium Primary & Secondary School, Saidpur, Islamabad. (Female)",263,78,8,2,,
184,"Islamabad Model School for Girls/Boys (I-X) Saidpur, Islamabad, (Male)",383,115,47,6,,
185,"Behbud English Medium Primary & Secondary School, Saidpur, Islamabad. (Female)",328,91,43,2,,
186,"Islamabad Model School for Girls (I-X) Gokina, Islamabad. (Male)",149,127,4,4,,
187,"Islamabad Model School for Girls (I-X) Gokina, Islamabad. (Female)",99,95,6,0,,
188,"Islamabad Model School for Girls (I-X) Gokina, Islamabad. (Male)",241,204,78,2,,
189,"Islamabad Model School for Girls (I-X) Gokina, Islamabad. (Female)",167,91,11,1,,
190,"Islamabad Model School for Boys (I-X) Talhar, Islamabad. (Male)",216,384,87,14,,
