No,Name,PTI-IND,PML-N,Total Votes,Filename
418,"418 - Government Girls High School Chaki
Sheikh Jaee Lawa (Combined)-II",180,427,,
419,"419 - Government Boys Primary School
Markhakki (Darbata) (Combined)-I",149,106,,
420,"420 - Government Boys High School Kot Qazi
(Male)-I",191,382,,
421,"421 - Government Boys High School Kot Qazi
(Female)-I",133,261,,
422,"422 - Government Girls Elementary School
Dhoke Muhammad Khan Kot Qazi (Combined)-",158,325,,
423,"423 - Government Girls Elementary School
Kot Shammas (Male)-I",239,226,,
424,"424 - Government Elementary School Kot
Shammas (Female)-I",271,261,,
425,"425 - Government Boys Elementary School
Kot Shammas Campus No.2 (Middle Portion)",311,167,,
426,"426 - Government Girls High School Danda
Shah Bilawal (Combined)-I",509,140,,
427,"427 - Government Boys Higher Secondary
School Danda Shah Bilwal (Male)-I",295,174,,
428,"428 - Government Special Education Center
Danda Shah Bilawal (Female)-I",254,95,,
429,"429 - Government Boys Higher Secondary
School Danda Shah Bilwal (Combined)-I",393,199,,
430,"430 - Government Boys Primary School
Murad Wand (Combined)-I",352,261,,
431,"431 - Government Boys Primary School No 1
Pichnand (Combined)-I",416,240,,
432,"432 - Veterinary Center Pichnand (Combined)-
I",391,97,,
433,"433 - Government Higher Secondary School
Pichnand (Combined)-I",502,279,,
434,"434 - Union Council Office Pichnand
(Combined)-I",181,72,,
435,"435 - Government Higher Secondary School
Pichnand (Male)-I",246,184,,
436,"436 - Government Higher Secondary School
Pichnand (Female)-I",219,158,,
437,"437 - Government Girls Elementary School
Pichnand (Combined)-I",305,108,,
438,"438 - Government Elementary School Dhoke
Majhal (Combined)-I",328,216,,
439,"439 - Government Girls High School Pichnand
(Male)-I",260,172,,
440,"440 - Government Girls High School Pichnand
(Female)-I",211,186,,
441,"441 - Government Boys Primary School Banjra
(Combined)-I",279,486,,
442,"442 - Government Girls Elementary School
Kanhat (Combined)-I",376,257,,
443,"443 - Government Boys High School Kot
Gullah (Combined)-II",160,300,,
444,"444 - Government Boys High School Kot
Gullah (Combined)-II",184,355,,
445,"445 - Government Girls Elementary School
Dhoke Matoki (Combined)-I",85,88,,
446,"446 - Government Primary School Dhoke Jhatt
(Combined)-I",117,351,,
447,"447 - Government High School Dhoke Mail
(Male)-I",211,193,,
448,"448 - Government Girls Primary School Dhoke
Choi (Female)-I",222,165,,
449,"449 - Government Boys High School Sadiq
Abad (Male)-I",87,344,,
450,"450 - Government Girls Elementary School
Sadiq Abad (Female)-I",63,352,,
451,"451 - Government Boys High School Sadiq
Abad (Combined)-I",221,446,,
452,"452 - Government Boys Primary School Dhoke
Kharmar (Combined)-I",133,214,,
453,"453 - Government Boys Elementary School
Khushal Garh (Combined)-I",214,492,,
454,"454 - Government Boys Primary School
Chattah (Combined)-I",79,122,,
455,"455 - Government Boys Elementary School
Larian (Combined)-I",216,327,,
456,"456 - Government Primary School Turap
Janoobi (Chaki Shah Jee) (Combined)-I",63,195,,
457,"457 - Government Primary School Lawa Gharb
(Combined)-I",307,233,,
458,"458 - Government Girls Primary School Lawa
No.3 Mohallah Eid Gah Lawa (Combined)-I",200,279,,
459,"459 - Government Primary School Lawa South
(Combined)-I",224,226,,
460,"460 - Government Boys Higher Secondary
School Lawa (Combined)-II",287,203,,
461,"461 - Government Boys Higher Secondary
School Lawa (Combined)-II",363,166,,
462,462 - Rural Health Center Lawa (Combined)-I,525,244,,
463,"463 - Government Girls Higher Senondry
School Lawa (Combined)-II",459,280,,
464,"464 - Government Girls Higher Senondry
School Lawa (Combined)-II",484,271,,
465,"465 - Government Boys Primary School Lawa
Sharqi (Combined)-I",238,228,,
466,"466 - Government Girls High School Lawa
(Combined)-II",412,148,,
467,"467 - Government Girls High School Lawa
(Combined)-II",324,251,,
