No,Name,IND,PPP,TLP,PML-N,PTI-IND,Total Votes,Filename
373,Polling Station No. 373,10,2,12,83,390,,
374,Polling Station No. 374,14,50,19,203,387,,
375,Polling Station No. 375,11,48,14,181,472,,
376,Polling Station No. 376,1,31,29,85,285,,
377,Polling Station No. 377,2,24,12,69,214,,
378,Polling Station No. 378,2,66,45,103,350,,
379,Polling Station No. 379,3,50,14,87,234,,
380,Polling Station No. 380,8,34,28,104,308,,
381,Polling Station No. 381,2,66,23,149,525,,
382,Polling Station No. 382,6,83,26,117,493,,
383,Polling Station No. 383,13,42,40,105,336,,
384,Polling Station No. 384,4,55,75,142,496,,
385,Polling Station No. 385,6,71,59,156,482,,
386,Polling Station No. 386,1,29,37,124,423,,
387,Polling Station No. 387,6,19,84,139,419,,
388,Polling Station No. 388,11,22,26,89,258,,
389,Polling Station No. 389,4,38,80,208,528,,
390,Polling Station No. 390,3,24,14,49,227,,
391,Polling Station No. 391,10,36,43,173,443,,
392,Polling Station No. 392,0,18,3,35,146,,
393,Polling Station No. 393,1,38,43,143,348,,
394,Polling Station No. 394,20,57,18,83,308,,
395,Polling Station No. 395,8,61,52,137,428,,
396,Polling Station No. 396,6,65,23,162,493,,
397,Polling Station No. 397,13,62,33,159,575,,
398,Polling Station No. 398,24,47,24,127,381,,
399,Polling Station No. 399,12,52,8,123,441,,
400,Polling Station No. 400,16,60,10,94,284,,
401,Polling Station No. 401,3,151,100,208,646,,
402,Polling Station No. 402,7,201,112,18,186,,
403,Polling Station No. 403,4,312,108,312,186,,
404,Polling Station No. 404,6,127,181,278,524,,
405,Polling Station No. 405,1,148,140,204,403,,
406,Polling Station No. 406,48,42,124,444,238,,
407,Polling Station No. 407,2,163,55,243,292,,
408,Polling Station No. 408,0,108,60,218,330,,
409,Polling Station No. 409,66,82,15,190,350,,
410,Polling Station No. 410,44,19,53,176,354,,
411,Polling Station No. 411,43,37,133,162,403,,
412,Polling Station No. 412,116,49,14,297,315,,
413,Polling Station No. 413,143,71,13,318,357,,
414,Polling Station No. 414,1,145,146,139,587,,
415,Polling Station No. 415,5,15,20,166,121,,
416,Polling Station No. 416,15,21,369,261,298,,
417,Polling Station No. 417,33,13,165,212,315,,
418,Polling Station No. 418,22,35,115,175,266,,
419,Polling Station No. 419,0,65,218,175,333,,
420,Polling Station No. 420,3,24,366,131,189,,
421,Polling Station No. 421,1,29,80,100,347,,
422,Polling Station No. 422,0,48,25,162,269,,
423,Polling Station No. 423,53,21,189,156,203,,
424,Polling Station No. 424,29,6,30,73,125,,
425,Polling Station No. 425,1,13,189,179,485,,
426,Polling Station No. 426,0,28,142,189,413,,
427,Polling Station No. 427,1,17,147,366,385,,
428,Polling Station No. 428,0,18,35,245,370,,
429,Polling Station No. 429,14,8,35,189,295,,
430,Polling Station No. 430,6,136,50,367,312,,
431,Polling Station No. 431,4,27,24,470,249,,
432,Polling Station No. 432,1,33,45,340,229,,
433,Polling Station No. 433,0,4,257,305,195,,
434,Polling Station No. 434,0,3,250,256,124,,
435,Polling Station No. 435,2,46,251,235,344,,
436,Polling Station No. 436,0,9,31,122,126,,
437,Polling Station No. 437,1,46,141,374,487,,
438,Polling Station No. 438,6,26,134,270,362,,
439,Polling Station No. 439,14,24,68,200,348,,
440,Polling Station No. 440,6,32,36,140,274,,
441,Polling Station No. 441,0,3,35,33,413,,
442,Polling Station No. 442,1,108,19,305,272,,
443,Polling Station No. 443,1,54,6,262,281,,
444,Polling Station No. 444,1,4,167,201,127,,
445,Polling Station No. 445,1,91,291,266,404,,
446,Polling Station No. 446,0,66,188,107,281,,
447,Polling Station No. 447,2,56,201,144,492,,
448,Polling Station No. 448,2,53,107,107,386,,
449,Polling Station No. 449,2,63,107,273,505,,
450,Polling Station No. 450,0,71,53,233,405,,
451,Polling Station No. 451,1,49,193,246,339,,
452,Polling Station No. 452,0,12,27,125,234,,
453,Polling Station No. 453,0,28,53,164,174,,
454,Polling Station No. 454,0,46,107,218,450,,
455,Polling Station No. 455,0,54,61,123,313,,
456,Polling Station No. 456,2,99,171,213,377,,
457,Polling Station No. 457,1,88,123,174,307,,
458,Polling Station No. 458,132,97,87,196,507,,
459,Polling Station No. 459,59,72,166,265,519,,
460,Polling Station No. 460,11,81,134,294,348,,
461,Polling Station No. 461,8,92,88,182,363,,
